case,case_plain,case_index,kind,dimension,chi,parameter,conditioned,role,delta,seed_index,seed,N,relax_steps,K_grid_size,conditioning_noise,jump_size,max_scan_difference,K_at_jump,K_at_max_scan_difference,forward_R_lowK,backward_R_lowK,forward_R_highK,hysteresis_area
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.35,0,60327220,256,1800,121,,0.14826326194914732,0.12283488292333564,2.1495195847628703,2.1495195847628703,0.06163003672564846,0.06513394875938747,0.7604249119137334,0.08604105280184224
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.35,1,60337220,256,1800,121,,0.09768463111862236,0.12163073196010588,2.1495195847628703,1.9981276977644964,0.05820405979341625,0.06927602142235972,0.7642050193989252,0.08099689092286305
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.35,2,60347220,256,1800,121,,0.15730513135722624,0.2016312156613675,2.229464131558614,2.229464131558614,0.041450963039373116,0.06915639031994412,0.7646171826349111,0.1091772212369141
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.35,3,60357220,256,1800,121,,0.11466518531225073,0.08804121622936509,2.229464131558614,1.9981276977644964,0.06353814462933778,0.06813337754872689,0.7629497313214424,0.07841252103046241
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.35,4,60367220,256,1800,121,,0.11723032084220351,0.099235439064899,1.9981276977644964,1.9981276977644964,0.03557797702671711,0.06908636326419039,0.7629611622094356,0.0779331667027146
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.35,5,60377220,256,1800,121,,0.13799876124863059,0.11969282533454129,2.229464131558614,2.1495195847628703,0.07997433501013079,0.06756923063051862,0.7646631225718322,0.07866985695127254
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.35,6,60387220,256,1800,121,,0.07873977771984136,0.07498700791108609,2.229464131558614,0.16082238464115603,0.052439061828014194,0.06339081963998354,0.7600118882033124,0.07114301929689906
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.35,7,60397220,256,1800,121,,0.14412372463296202,0.1483989794082915,2.1495195847628703,2.072441704657077,0.06391117680415287,0.0664451723029482,0.7669412644768094,0.0988847319412064
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.35,8,60407220,256,1800,121,,0.13190052988405843,0.15574899187446867,2.229464131558614,2.1495195847628703,0.04526262458434327,0.06679119636167506,0.7660151760748762,0.09267706801271176
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.35,9,60417220,256,1800,121,,0.11748917114448072,0.15907302426199255,2.1495195847628703,2.1495195847628703,0.04466081102094929,0.06920938516259804,0.762145052827964,0.09522359626783566
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.35,10,60427220,256,1800,121,,0.13799293913459837,0.09484538289357469,2.3123819615975916,2.229464131558614,0.04803021275911831,0.06752405681050005,0.7603246608681632,0.08506048373007452
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.35,11,60437220,256,1800,121,,0.09770877634763897,0.1121574297720177,2.3123819615975916,2.3123819615975916,0.07094210638147506,0.07016999279285627,0.7609344198218277,0.0880535110290383
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.35,12,60447220,256,1800,121,,0.1194225071832879,0.13256454074320814,2.1495195847628703,2.072441704657077,0.05645958168565865,0.06599745579814965,0.7601837431167312,0.0832248171563375
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.35,13,60457220,256,1800,121,,0.15341342100081357,0.12363813784794087,2.1495195847628703,2.1495195847628703,0.05393213488717033,0.07096774647347888,0.7616211199878717,0.07560230975114572
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.35,14,60467220,256,1800,121,,0.08231531027402822,0.08407058521354516,2.229464131558614,2.1495195847628703,0.04819293460106164,0.06721036301917788,0.7624444224813401,0.06874834285648378
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.5,0,60342220,256,1800,121,,0.08107478628280487,0.06216619706207152,2.14951958476287,2.0724417046570762,0.06299563972061786,0.06667891280992046,0.7648636019744416,0.05973714733274067
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.5,1,60352220,256,1800,121,,0.13781795151128406,0.13328301983395913,2.14951958476287,2.0724417046570762,0.05756301445750373,0.07127518337404998,0.7599217409907525,0.07760914428168611
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.5,2,60362220,256,1800,121,,0.13332315232657496,0.12108286533499252,2.14951958476287,2.0724417046570762,0.052991904218693764,0.07294480952397978,0.7606472470471622,0.06887012145583105
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.5,3,60372220,256,1800,121,,0.09729909593665761,0.1332501616664022,2.14951958476287,2.0724417046570762,0.045952703675560806,0.07149142347765586,0.7597013343610052,0.07087988273623105
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.5,4,60382220,256,1800,121,,0.10385650577693528,0.07816929365775901,2.0724417046570762,2.0724417046570762,0.0575625209980782,0.06965815760348083,0.7641551965804143,0.06784184700597773
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.5,5,60392220,256,1800,121,,0.08894341636073716,0.09566289097129971,2.14951958476287,2.0724417046570762,0.07248354784134975,0.07378350921745679,0.762814399818434,0.06843136820692931
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.5,6,60402220,256,1800,121,,0.09919147491621655,0.08806258341089301,2.14951958476287,2.0724417046570762,0.05145089308933758,0.0703820848409911,0.7618562472371364,0.069935303017592
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.5,7,60412220,256,1800,121,,0.1352842856790931,0.10701863767071196,2.229464131558613,2.14951958476287,0.05281607083965185,0.06831483262481007,0.7617986840844053,0.07868459450656425
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.5,8,60422220,256,1800,121,,0.13502801696630215,0.1116821519052785,2.14951958476287,2.14951958476287,0.06276607669689968,0.06914994951797383,0.7613763695641409,0.06167946697954266
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.5,9,60432220,256,1800,121,,0.12457351164728372,0.1242595133124533,2.229464131558613,2.14951958476287,0.0574793075721699,0.06860701226546347,0.7611957412000012,0.0838973570412595
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.5,10,60442220,256,1800,121,,0.14789117997897394,0.14110542971097612,2.14951958476287,2.14951958476287,0.07286612818073185,0.07103783979390012,0.7615157178685573,0.07896713115566782
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.5,11,60452220,256,1800,121,,0.12124432057519632,0.14392014808024933,2.229464131558613,2.0724417046570762,0.06604456119884648,0.07019553711762341,0.7615818795005291,0.0788063020865645
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.5,12,60462220,256,1800,121,,0.12074695507170635,0.10202982970782143,2.14951958476287,2.14951958476287,0.05986873332192163,0.07332796067383975,0.7614337086510079,0.07051807056088166
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.5,13,60472220,256,1800,121,,0.0926226871687521,0.08629067196249547,2.0724417046570762,1.998127697764496,0.08437914697809498,0.07313969813943232,0.7611369347805763,0.060887857475428055
$\mathbb{T}^{2}$,T^2,0,torus,2,0,2,False,continuous control,0.5,14,60482220,256,1800,121,,0.07771202263115662,0.06857421911698652,2.14951958476287,1.1554123134867016,0.07998452620345,0.06757026886847883,0.7648384246408989,0.06223999026662956
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,0,60427220,256,1800,121,0.1,0.11579629559803306,0.9325404356097171,0.08966050194856166,0.06,0.059105713510416415,0.9916461491201335,0.999217658967634,0.026139265949087484
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,1,60437220,256,1800,121,0.1,0.12503494902934575,0.9224544892818579,0.09645379778966362,0.06,0.07207526261353778,0.9945297518953957,0.9991523765945023,0.026829681834892212
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,2,60447220,256,1800,121,0.1,0.1248931032881524,0.9076390553003819,0.09645379778966362,0.062231509236643584,0.08339612049959498,0.9891632297325015,0.9993309999311725,0.027929730587978818
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,3,60457220,256,1800,121,0.1,0.13297654729198505,0.8852256830140159,0.08035703728215758,0.06,0.09779287863617937,0.9830185616501953,0.9992027131280881,0.02379234813850848
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,4,60467220,256,1800,121,0.1,0.12714729895166155,0.8867192737953997,0.08334566179756502,0.06,0.09620919452702997,0.9829284683224296,0.9992624293505481,0.02433759253555414
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,5,60477220,256,1800,121,0.1,0.12427864025594093,0.9305877634044708,0.09645379778966362,0.06,0.05813149306230561,0.9887192564667764,0.999281968039393,0.031986417174690175
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,6,60487220,256,1800,121,0.1,0.10986598426706562,0.9373305985300766,0.09645379778966362,0.06,0.0516242212121423,0.9889548197422189,0.9991503270432346,0.027648651576677598
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,7,60497220,256,1800,121,0.1,0.11970788117667319,0.9171886660252986,0.10376180041225572,0.06,0.07140023001376858,0.9885888960390672,0.9991817601625859,0.032437951014895064
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,8,60507220,256,1800,121,0.1,0.1303260650566751,0.9037901144889849,0.08334566179756502,0.06,0.07859570055436242,0.9823858150433473,0.9992047190388603,0.024798068445090228
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,9,60517220,256,1800,121,0.1,0.11695042710426717,0.9275374833244596,0.09645379778966362,0.06,0.049308520853711776,0.9768460041781714,0.9990921182435653,0.03582773924636603
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,10,60527220,256,1800,121,0.1,0.13000864834069237,0.9128633323761925,0.08035703728215758,0.06,0.08166133916452273,0.9945246715407153,0.9991765186482277,0.01680336528566042
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,11,60537220,256,1800,121,0.1,0.1354122940461856,0.9240394323834461,0.0774755794302747,0.06,0.07069780659046034,0.9947372389739064,0.9991894688823635,0.018498469938116553
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,12,60547220,256,1800,121,0.1,0.12319983182432193,0.8867283749331822,0.11162350753955047,0.06,0.10779612882130574,0.994524503754488,0.9991397209078698,0.03526876291881098
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,13,60557220,256,1800,121,0.1,0.10644876220478494,0.9168594112031069,0.09299513925290025,0.06,0.0718835252610387,0.9887429364641456,0.9991937815695384,0.026933047251560396
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,14,60567220,256,1800,121,0.1,0.1280057650973917,0.920140422219454,0.08334566179756502,0.06,0.06866481696663797,0.988805239186092,0.9992117236639899,0.022238745487582996
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,0,60442220,256,1800,121,0.1,0.1532616420499161,0.8827250676731806,0.07201893030300671,0.06,0.1016051670100425,0.9843302346832231,0.9991368392533592,0.017000027774555462
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,1,60452220,256,1800,121,0.1,0.14428395288501938,0.8926712296427612,0.08966050194856165,0.06,0.08461407663997092,0.9772853062827321,0.9991206818108181,0.028579863365910622
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,2,60462220,256,1800,121,0.1,0.14826817984090268,0.9209578604382023,0.08035703728215755,0.06,0.07343411444425593,0.9943919748824582,0.9991940308527965,0.015402090114513359
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,3,60472220,256,1800,121,0.1,0.13145236005198313,0.8779746524208916,0.08035703728215755,0.06,0.09965765065627462,0.9776323030771662,0.9992543870169366,0.019621259523407916
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,4,60482220,256,1800,121,0.1,0.14071688233216173,0.9357213264532904,0.08644543869982228,0.06,0.04741318093598483,0.9831345073892752,0.9991845789222258,0.022551248886747505
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,5,60492220,256,1800,121,0.1,0.13354921099695805,0.9003463680806965,0.08035703728215755,0.06,0.08890274506280299,0.9892491131434995,0.9992299369361929,0.020679387364435413
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,6,60502220,256,1800,121,0.1,0.1721753642024283,0.91604039263081,0.07469744543941254,0.06,0.0727735711693997,0.9888139638002098,0.999160133737647,0.016918282584924477
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,7,60512220,256,1800,121,0.1,0.17655752636717603,0.9255144984563146,0.08035703728215755,0.06223150923664356,0.0706886994550939,0.9831784768519882,0.9992082240874637,0.02260335590800236
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,8,60522220,256,1800,121,0.1,0.13592653749112005,0.8755218371079244,0.08035703728215755,0.06,0.11913313379840854,0.9946549709063329,0.9992039300439812,0.0141153056280695
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,9,60532220,256,1800,121,0.1,0.15256703788482695,0.9020062674372018,0.08035703728215755,0.06,0.09257932781640912,0.9945855952536109,0.9991454365736683,0.01610085201595057
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,10,60542220,256,1800,121,0.1,0.1352259785589246,0.8822203063760149,0.08035703728215755,0.06,0.10072577046335544,0.9829460768393703,0.9991571579769614,0.0189662114686786
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,11,60552220,256,1800,121,0.1,0.13282061215665686,0.9414962712206947,0.09645379778966359,0.06,0.04739334891644982,0.9888896201371445,0.9992942739283903,0.030514392723759547
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,12,60562220,256,1800,121,0.1,0.182468128390759,0.9275660222086568,0.07469744543941254,0.06,0.061157828855309654,0.9887238510639664,0.9991237872714878,0.01805140700195404
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,13,60572220,256,1800,121,0.1,0.14138405258272435,0.8668565700827926,0.07469744543941254,0.06,0.11589273512555044,0.982749305208343,0.9992363357220628,0.01757396546588688
